anio;mes;hec_cub;;;;;;;;;;;
;abril;16,226;;;;;;;;;;;
;mayo;17,441;;;;;;;;;;;
;junio;16,954;;;;;;;;;;;
;julio;15,48;;;;;;;;;;;
;agosto;13,788;;;;;;;;;;;
;septiembre;12,02;;;;;;;;;;;
;octubre;11,369;;;;;;;;;;;
;noviembre;15,596;;;;;;;;;;;
;diciembre;19,546;;;;;;;;;;;
2021;enero;23,477;;;;;;;;;;;
;febrero;23,414;;;;;;;;;;;
;marzo;23,731;;;;;;;;;;;
;abril;;;;;;;;;;;;
;mayo;;;;;;;;;;;;
;junio;;;;;;;;;;;;
;julio;;;;;;;;;;;;
;agosto;;;;;;;;;;;;
;septiembre;;;;;;;;;;;;
;octubre;;;;;;;;;;;;
;noviembre;;;;;;;;;;;;
;diciembre;;;;;;;;;;;;
